proposal_radius,nms_radius,strategy,param_name,param_value,empty_anchor_ratio,median_raw_child_count,median_used_child_count,mean_used_child_count,p75_used_child_count,p90_used_child_count,mean_fallback_ratio,median_fallback_ratio,nearest_topm_distance_median,used_child_distance_mean,anchor_rows
1024.0,512.0,bbox_then_nearest,bbox_expand,8.0,0.0,9.0,16.0,16.0,16.0,16.0,0.5675942332474226,0.4375,1448.1546878700494,1925.6752140808276,3104
1024.0,512.0,bbox_containment,bbox_expand,10.0,0.04639175257731959,9.0,9.0,6.929768041237113,9.0,9.0,0.0,0.0,1448.1546878700494,1110.9462405231004,3104
1024.0,512.0,bbox_then_nearest,bbox_expand,10.0,0.0,9.0,16.0,16.0,16.0,16.0,0.5668894974226805,0.4375,1448.1546878700494,1925.6752140808276,3104
1024.0,512.0,center_radius,high_radius,512.0,0.22197164948453607,1.0,1.0,0.7780283505154639,1.0,1.0,0.0,0.0,1448.1546878700494,0.7884560433808384,3104
1024.0,512.0,center_radius,high_radius,1024.0,0.07957474226804123,5.0,5.0,3.864368556701031,5.0,5.0,0.0,0.0,1448.1546878700494,830.0876033529568,3104
1024.0,512.0,center_radius,high_radius,2048.0,0.023195876288659795,12.0,12.0,9.95811855670103,13.0,13.0,0.0,0.0,1448.1546878700494,1410.6167849904693,3104
1024.0,512.0,center_radius,high_radius,4096.0,0.00032216494845360824,40.0,16.0,15.52319587628866,16.0,16.0,0.0,0.0,1448.1546878700494,1873.3980435826636,3104
1024.0,512.0,center_radius,high_radius,8192.0,0.0,133.0,16.0,15.998711340206185,16.0,16.0,0.0,0.0,1448.1546878700494,1924.8954324254141,3104
1024.0,1024.0,bbox_containment,bbox_expand,2.0,0.22293814432989692,1.0,1.0,0.7770618556701031,1.0,1.0,0.0,0.0,1448.1546878700494,0.31494697413324124,3104
1024.0,1024.0,bbox_then_nearest,bbox_expand,2.0,0.0,1.0,16.0,16.0,16.0,16.0,0.9514336340206185,0.9375,1448.1546878700494,1925.4877453445033,3104
1024.0,1024.0,bbox_containment,bbox_expand,3.0,0.22197164948453607,1.0,1.0,0.7780283505154639,1.0,1.0,0.0,0.0,1448.1546878700494,1.2271789812084675,3104
1024.0,1024.0,bbox_then_nearest,bbox_expand,3.0,0.0,1.0,16.0,16.0,16.0,16.0,0.9513732280927835,0.9375,1448.1546878700494,1925.4877453445033,3104
1024.0,1024.0,bbox_containment,bbox_expand,4.0,0.22164948453608246,1.0,1.0,0.7783505154639175,1.0,1.0,0.0,0.0,1448.1546878700494,1.419536293235549,3104
1024.0,1024.0,bbox_then_nearest,bbox_expand,4.0,0.0,1.0,16.0,16.0,16.0,16.0,0.9513530927835051,0.9375,1448.1546878700494,1925.4877453445033,3104
1024.0,1024.0,bbox_containment,bbox_expand,6.0,0.22100515463917525,1.0,1.0,0.7815721649484536,1.0,1.0,0.0,0.0,1448.1546878700494,3.364452335791055,3104
1024.0,1024.0,bbox_then_nearest,bbox_expand,6.0,0.0,1.0,16.0,16.0,16.0,16.0,0.9511517396907216,0.9375,1448.1546878700494,1925.5007332905686,3104
