experiment,train_dir,fold,test_auc,test_acc,test_f1,val_auc,val_acc,balanced_acc,sensitivity,specificity,pr_auc
Concept-12 embedding_mean,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_embedding_mean_s1,1,0.9815340909090908,0.9536082474226804,0.948139127335373,0.9608191287878788,0.922680412371134,0.9464962121212122,0.9242424242424242,0.96875,0.9652243988867548
Concept-12 embedding_mean,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_embedding_mean_s1,2,0.963660037878788,0.9072164948453608,0.9006147540983607,0.9797861088259492,0.9690721649484536,0.9186789772727272,0.9545454545454546,0.8828125,0.9423797219220352
Concept-12 embedding_mean,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_embedding_mean_s1,3,0.9679163238923492,0.9484536082474226,0.9417067307692308,0.9631352899069436,0.9378238341968912,0.9324244917146552,0.8805970149253731,0.984251968503937,0.9688619501965628
Concept-12 embedding_mean,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_embedding_mean_s1,4,0.9575280362681938,0.927461139896373,0.918810096153846,0.9594368885707468,0.9378238341968912,0.9157718921498448,0.8787878787878788,0.952755905511811,0.9390762696290554
Concept-12 embedding_mean,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_embedding_mean_s1,5,0.9587807205917442,0.932642487046632,0.9248914833108816,0.986505681818182,0.9536082474226804,0.9233476497256023,0.8939393939393939,0.952755905511811,0.890924589497402
Concept-12 MLP dynamic_gate,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_dynamic_gate_s1,1,0.9852035984848484,0.9381443298969072,0.9333562349708004,0.9656723484848484,0.9278350515463918,0.9494554924242424,0.9848484848484848,0.9140625,0.9708822289404312
Concept-12 MLP dynamic_gate,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_dynamic_gate_s1,2,0.9580965909090908,0.8969072164948454,0.8867880485527544,0.9866024209660358,0.9742268041237112,0.8925189393939394,0.8787878787878788,0.90625,0.9120001210821012
Concept-12 MLP dynamic_gate,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_dynamic_gate_s1,3,0.9666235750381948,0.9484536082474226,0.9421586165772212,0.9515628728227152,0.922279792746114,0.9359501704078036,0.8955223880597015,0.9763779527559056,0.965410685064304
Concept-12 MLP dynamic_gate,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_dynamic_gate_s1,4,0.94613457408733,0.917098445595855,0.9078978764018134,0.9642090193271295,0.9481865284974094,0.9078978764018134,0.8787878787878788,0.937007874015748,0.8901441857936898
Concept-12 MLP dynamic_gate,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_dynamic_gate_s1,5,0.971247912192794,0.9430051813471504,0.9373469086616496,0.9824810606060606,0.9329896907216496,0.9421379145788596,0.9393939393939394,0.9448818897637796,0.9002021278323017
Concept-12 PEPS topk=1 tau=0.1,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk1_tau0.1_s1,1,0.978811553030303,0.9329896907216496,0.9261601522471088,0.969341856060606,0.9329896907216496,0.9308712121212122,0.9242424242424242,0.9375,0.9561792549746048
Concept-12 PEPS topk=1 tau=0.1,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk1_tau0.1_s1,2,0.959161931818182,0.8969072164948454,0.8882488479262672,0.9775531789869552,0.9587628865979382,0.8998579545454546,0.9090909090909092,0.890625,0.9313837488990192
Concept-12 PEPS topk=1 tau=0.1,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk1_tau0.1_s1,3,0.9645081678223058,0.9432989690721648,0.9356201164509608,0.9636125029825818,0.9378238341968912,0.9249618051474908,0.8656716417910447,0.984251968503937,0.96523726541562
Concept-12 PEPS topk=1 tau=0.1,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk1_tau0.1_s1,4,0.9485802910999762,0.922279792746114,0.911264367816092,0.9572894297303748,0.9378238341968912,0.9009186351706036,0.8333333333333334,0.968503937007874,0.9129632720608636
Concept-12 PEPS topk=1 tau=0.1,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk1_tau0.1_s1,5,0.9750656167979002,0.9378238341968912,0.93092340730136,0.9760890151515152,0.9432989690721648,0.93092340730136,0.9090909090909092,0.952755905511811,0.9441831439177713
Concept-12 PEPS topk=3 tau=0.1,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk3_tau0.1_s1,1,0.9795217803030304,0.9329896907216496,0.9261601522471088,0.9695785984848484,0.9329896907216496,0.9308712121212122,0.9242424242424242,0.9375,0.957772175473609
Concept-12 PEPS topk=3 tau=0.1,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk3_tau0.1_s1,2,0.9590435606060608,0.9278350515463918,0.919625946969697,0.9762604301328006,0.963917525773196,0.919625946969697,0.8939393939393939,0.9453125,0.9288432636333528
